"sex","age","pyld_rate","pyld_rate_allcause"
2,69,0.19921990490696,0.239582044405199
1,70,0.181151825147855,0.22710318389499
2,70,0.203263400975768,0.245223064438159
1,71,0.185505561202138,0.233141505999964
2,71,0.207275655729253,0.250982509639871
1,72,0.189756981969148,0.239146420758084
2,72,0.21114901253686,0.256766013394025
1,73,0.193846306584853,0.245025526459923
2,73,0.214836297150059,0.262503574650257
1,74,0.197822177083562,0.250834418726969
2,74,0.218396049181969,0.268253426812973
1,75,0.201749105021382,0.256689681767884
2,75,0.22187640123605,0.274113365254128
1,76,0.205697476185981,0.26271950193527
2,76,0.225329143331215,0.280189930347848
1,77,0.209743508876914,0.269064228610888
2,77,0.228809596701738,0.286599030506558
1,78,0.213870923189622,0.275763255064257
2,78,0.232219161906919,0.29331171387482
1,79,0.218027327981703,0.282741044053595
2,79,0.235513072476323,0.300267452833987
1,80,0.222240881182759,0.289973157429468
2,80,0.238836465384433,0.307547606333607
1,81,0.226541960478143,0.297431985107487
2,81,0.242342960736097,0.315241045397321
1,82,0.230963260205608,0.305086454834943
2,82,0.246195349762389,0.323445088431786
1,83,0.235610844343672,0.313137964411889
2,83,0.250556834846921,0.332495918356458
1,84,0.24047349016698,0.321634846214761
2,84,0.255344181117009,0.342399125775565
1,85,0.245400711066258,0.330291047881452
2,85,0.260347261260266,0.35272699928279
1,86,0.250229338860046,0.338788464418497
2,86,0.265339210413028,0.362997509112445
1,87,0.254783655332398,0.346777007346273
2,87,0.270075542191056,0.37267188267218
1,88,0.25891200427307,0.354037967514679
2,88,0.274437569957037,0.381520368192957
1,89,0.26270520724672,0.360744239128654
2,89,0.278569566618034,0.389832022115338
1,90,0.266352331935354,0.367127567527763
2,90,0.282616131940826,0.397823887993873
1,91,0.270054307241061,0.373439817314753
2,91,0.286731089579251,0.40573516810823
1,92,0.274023590089443,0.379951606865391
2,92,0.291077449386528,0.413826007105873
1,93,0.27830081248983,0.386631114671604
2,93,0.295689758236664,0.422036103477565
1,94,0.282752880920431,0.393291142937236
2,94,0.300467171487773,0.430178006310289
1,95,0.28733893915297,0.39998633847143
2,95,0.305375217606664,0.43834244740363
1,96,0.292015328959773,0.406775284407134
2,96,0.310377016242938,0.446627577667661
1,97,0.296735410233442,0.413720596982344
2,97,0.315433134052345,0.455139134570024
1,98,0.301498849712389,0.420826339155042
2,98,0.320543563769406,0.463884070248043
1,99,0.306338755817451,0.428054124011118
2,99,0.325736789138139,0.472797029051748
1,100,0.311256356053447,0.43540604766048
2,100,0.331014151556493,0.481881239337734
